    Name     |      Class      | Score 
AMALIA       |  K67A1 ToanHoc  |  2.2  
SHARA        |  K63A3 KHMT&TT  |  4.7  
GLADY        |  K64A4 KHMT&TT  |  2.3  
MARCELA      |  K67A4 KHMT&TT  |  6.7  
HERMINA      |  K63A1 ToanHoc  |  7.2  
CLEVELAND    |  K64A2 ToanTin  |  3.7  
DONNELL      |  K67A3 KHMT&TT  |  9.7  
KENDALL      |  K64A1 ToanHoc  |  5.7  
CAROLL       |  K63A4 KHMT&TT  |  3.1  
CLAUDINE     |   K63A5 KHDL    |  8.9  
BRITNEY      |  K65A1 ToanHoc  |  5.6  
ERNA         |   K64A5 KHDL    |  8.9  
MISTIE       |  K66A3 KHMT&TT  |  0.1  
JEANNA       |  K65A1 ToanHoc  |  1.1  
NADINE       |  K63A4 KHMT&TT  |  2.0  
ADRIANNA     |  K67A3 KHMT&TT  |  3.3  
ALEXANDER    |  K67A2 ToanTin  |  2.6  
ALETA        |  K64A4 KHMT&TT  |  1.7  
HYACINTH     |  K65A2 ToanTin  |  1.7  
VINNIE       |  K65A2 ToanTin  |  0.5  
KRISTAN      |   K63A5 KHDL    |  9.2  
JONNA        |  K66A4 KHMT&TT  |  6.1  
MELISSA      |  K67A1 ToanHoc  |  7.9  
CHERRYL      |  K67A4 KHMT&TT  |  1.2  
LEONIE       |  K66A3 KHMT&TT  |  2.8  
TIFFANI      |  K63A3 KHMT&TT  |  6.1  
JANNET       |  K63A3 KHMT&TT  |  1.4  
CLETUS       |   K66A5 KHDL    |  0.8  
LATORIA      |  K63A1 ToanHoc  |  5.6  
KARLENE      |   K66A5 KHDL    |  9.0  
MIKEL        |  K64A3 KHMT&TT  |  1.1  
ROSEANNE     |   K63A5 KHDL    |  2.9  
VICTORIA     |  K67A4 KHMT&TT  |  1.4  
HILARIA      |  K65A4 KHMT&TT  |  0.5  
PAMALA       |  K66A2 ToanTin  |  6.9  
KITTY        |   K63A5 KHDL    |  4.7  
IRENE        |  K64A4 KHMT&TT  |  5.6  
KATHY        |  K66A1 ToanHoc  |  7.0  
GRACIA       |  K64A2 ToanTin  |  8.4  
KRAIG        |  K65A1 ToanHoc  |  8.3  
LAVERA       |  K65A4 KHMT&TT  |  5.1  
ANDRA        |  K65A3 KHMT&TT  |  4.8  
LIANNE       |  K67A4 KHMT&TT  |  9.9  
RHODA        |  K63A2 ToanTin  |  4.3  
TERI         |  K67A1 ToanHoc  |  7.3  
MICHELINE    |  K65A4 KHMT&TT  |  5.8  
ELROY        |  K66A3 KHMT&TT  |  8.7  
WILBER       |   K65A5 KHDL    |  8.4  
ASHLEA       |  K67A4 KHMT&TT  |  2.3  
LIDIA        |  K63A4 KHMT&TT  |  2.4  
META         |  K65A4 KHMT&TT  |  3.6  
TISA         |  K63A1 ToanHoc  |  4.2  
ANISHA       |   K63A5 KHDL    |  6.7  
LOVETTA      |  K65A2 ToanTin  |  3.7  
VALERIE      |  K63A1 ToanHoc  |  3.8  
HILMA        |   K65A5 KHDL    |  2.1  
STEVIE       |  K65A3 KHMT&TT  |  9.3  
KALI         |   K64A5 KHDL    |  0.3  
SHANAE       |  K67A4 KHMT&TT  |  1.5  
JUDY         |  K64A4 KHMT&TT  |  8.4  
COLUMBUS     |  K66A1 ToanHoc  |  6.0  
CLEOPATRA    |  K66A2 ToanTin  |  2.0  
STEFANIA     |  K64A2 ToanTin  |  6.0  
FELIX        |   K67A5 KHDL    |  4.2  
DEEANN       |  K67A4 KHMT&TT  |  2.8  
CHIA         |   K65A5 KHDL    |  4.7  
FREDDA       |  K66A4 KHMT&TT  |  3.3  
MALCOLM      |  K67A2 ToanTin  |  4.3  
MARKITA      |  K66A3 KHMT&TT  |  2.5  
ELBA         |   K64A5 KHDL    |  5.0  
JUDITH       |  K64A2 ToanTin  |  6.2  
BRYAN        |  K67A2 ToanTin  |  9.1  
TARAH        |  K66A3 KHMT&TT  |  3.5  
LIZA         |   K67A5 KHDL    |  3.6  
VIOLETA      |   K64A5 KHDL    |  8.6  
TOMIKO       |  K64A2 ToanTin  |  0.5  
ELVIS        |  K63A4 KHMT&TT  |  1.5  
TERESIA      |  K67A2 ToanTin  |  5.0  
HARLAND      |  K63A4 KHMT&TT  |  3.8  
EMMITT       |  K64A2 ToanTin  |  7.7  
QUYEN        |  K63A1 ToanHoc  |  1.4  
LAKIA        |  K64A1 ToanHoc  |  5.4  
ESMERALDA    |   K65A5 KHDL    |  7.6  
LUNA         |  K64A3 KHMT&TT  |  7.9  
TESSA        |  K65A1 ToanHoc  |  5.5  
MARLA        |   K67A5 KHDL    |  10.0 
JANICE       |   K64A5 KHDL    |  5.1  
LANA         |   K67A5 KHDL    |  9.0  
ADELAIDA     |  K66A2 ToanTin  |  4.2  
STELLA       |  K66A2 ToanTin  |  3.4  
RIVKA        |   K66A5 KHDL    |  3.1  
LAVELLE      |  K66A2 ToanTin  |  3.0  
PHILOMENA    |   K66A5 KHDL    |  9.6  
MYLES        |  K67A1 ToanHoc  |  2.8  
PINKIE       |  K63A4 KHMT&TT  |  0.5  
MATHILDE     |  K64A2 ToanTin  |  1.4  
LIBRADA      |  K64A3 KHMT&TT  |  9.2  
JACLYN       |  K63A3 KHMT&TT  |  5.7  
COLLIN       |  K66A1 ToanHoc  |  2.0  
WESTON       |  K66A3 KHMT&TT  |  3.7  
LYNNA        |   K67A5 KHDL    |  2.2  
INDIRA       |  K64A3 KHMT&TT  |  2.5  
ARIEL        |  K65A2 ToanTin  |  1.0  
LANG         |  K65A1 ToanHoc  |  4.0  
LEONARDO     |  K67A4 KHMT&TT  |  8.6  
LILY         |  K65A2 ToanTin  |  9.0  
GLYNIS       |  K65A2 ToanTin  |  5.7  
GWYNETH      |  K64A2 ToanTin  |  7.2  
CLINT        |  K66A1 ToanHoc  |  3.7  
BONG         |  K64A1 ToanHoc  |  2.6  
BEATRIZ      |  K66A1 ToanHoc  |  7.3  
NOVA         |  K64A4 KHMT&TT  |  6.2  
ROMAINE      |  K65A2 ToanTin  |  7.0  
JERRELL      |  K63A2 ToanTin  |  4.2  
JOANN        |  K63A2 ToanTin  |  0.9  
IGNACIA      |  K67A2 ToanTin  |  1.4  
ARCHIE       |  K65A1 ToanHoc  |  7.9  
SUZETTE      |  K63A2 ToanTin  |  4.3  
GRETTA       |  K67A2 ToanTin  |  1.9  
SAVANNA      |  K65A2 ToanTin  |  8.9  
DUSTY        |  K63A3 KHMT&TT  |  4.0  
DORIA        |  K63A1 ToanHoc  |  3.3  
ALENE        |  K67A2 ToanTin  |  0.4  
JANNET       |  K63A1 ToanHoc  |  2.3  
SEYMOUR      |  K64A1 ToanHoc  |  7.6  
TYESHA       |   K63A5 KHDL    |  6.1  
CLARETHA     |  K66A4 KHMT&TT  |  3.3  
CHASIDY      |  K66A4 KHMT&TT  |  9.5  
MICHAEL      |   K66A5 KHDL    |  7.8  
RAINA        |  K64A4 KHMT&TT  |  2.3  
SINDY        |  K65A3 KHMT&TT  |  6.6  
CAREY        |  K64A3 KHMT&TT  |  0.5  
CARRI        |  K65A4 KHMT&TT  |  0.7  
JANICE       |   K67A5 KHDL    |  3.3  
KEELEY       |  K64A4 KHMT&TT  |  2.6  
ESPERANZA    |  K65A2 ToanTin  |  1.8  
ANJANETTE    |   K63A5 KHDL    |  7.4  
DIANNE       |   K67A5 KHDL    |  6.9  
CORRIE       |   K65A5 KHDL    |  2.3  
NORBERT      |  K63A4 KHMT&TT  |  7.0  
SHASTA       |  K63A4 KHMT&TT  |  5.8  
MIGUEL       |   K66A5 KHDL    |  6.2  
YON          |  K66A2 ToanTin  |  7.4  
LISA         |  K67A3 KHMT&TT  |  7.4  
FILOMENA     |   K64A5 KHDL    |  5.1  
PAZ          |  K67A3 KHMT&TT  |  6.0  
NOBLE        |  K66A4 KHMT&TT  |  2.6  
SHEILA       |  K67A1 ToanHoc  |  1.8  
KAYE         |  K67A4 KHMT&TT  |  4.4  
ALMETA       |  K63A3 KHMT&TT  |  5.6  
DELILA       |   K66A5 KHDL    |  6.4  
NICKOLE      |  K64A3 KHMT&TT  |  6.7  
JANE         |  K66A3 KHMT&TT  |  1.1  
TANISHA      |  K65A4 KHMT&TT  |  3.1  
KENETH       |   K65A5 KHDL    |  3.0  
WANETA       |   K64A5 KHDL    |  1.4  
SHAKIA       |  K64A1 ToanHoc  |  8.4  
TOBIE        |  K67A3 KHMT&TT  |  9.1  
MADELAINE    |  K63A3 KHMT&TT  |  6.2  
SHANI        |  K63A1 ToanHoc  |  1.5  
ELENORA      |  K67A4 KHMT&TT  |  7.4  
